frame,status,prediction,global_conf,n_individuals,paths
4,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0004/stage_01_raw.png""}"
11,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0011/stage_01_raw.png""}"
26,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0026/stage_01_raw.png""}"
34,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0034/stage_01_raw.png""}"
41,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0041/stage_01_raw.png""}"
53,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0053/stage_01_raw.png""}"
65,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0065/stage_01_raw.png""}"
71,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0071/stage_01_raw.png""}"
88,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0088/stage_01_raw.png""}"
99,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0099/stage_01_raw.png""}"
107,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0107/stage_01_raw.png""}"
118,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0118/stage_01_raw.png""}"
124,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0124/stage_01_raw.png""}"
131,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0131/stage_01_raw.png""}"
142,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0142/stage_01_raw.png""}"
153,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0153/stage_01_raw.png""}"
169,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0169/stage_01_raw.png""}"
174,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0174/stage_01_raw.png""}"
181,no-global,,,0,"{""stage_01_raw"": ""/home/dsi/halamim1/ExtractNumbers/outputs/video_150_results/frame_0181/stage_01_raw.png""}"
